Section,Name,Youtube Link
Algebra (KA),Origins of Algebra,https://www.youtube.com/watch?v=_LDR1_Prveo
Algebra (KA),Abstract-ness,https://www.youtube.com/watch?v=ZOYRb2sYrL0
Algebra (KA),Descartes and Cartesian Coordinates,https://www.youtube.com/watch?v=N4nrdf0yYfM
Algebra (KA),Variables Expressions and Equations,https://www.youtube.com/watch?v=vDqOoI-4Z6M
Algebra (KA),Simple Equations,https://www.youtube.com/watch?v=9Ek61w1LxSc
Algebra (KA),Equations 2,https://www.youtube.com/watch?v=XoEn1LfVoTo
Algebra (KA),Equations 3,https://www.youtube.com/watch?v=f15zA0PhSek
Algebra (KA),Equations 4,https://www.youtube.com/watch?v=9IUEk9fn2Vs
Algebra (KA),Algebra: Solving Inequalities,https://www.youtube.com/watch?v=VgDe_D8ojxw
Algebra (KA),Algebra: graphing lines 1,https://www.youtube.com/watch?v=2UrcUfBizyw
Algebra (KA),Algebra: Slope and Y-intercept,https://www.youtube.com/watch?v=Nhn-anmubYU
Algebra (KA),Algebra: Slope,https://www.youtube.com/watch?v=hXP1Gv9IMBo
Algebra (KA),Algebra: Slope 2,https://www.youtube.com/watch?v=Kk9IDameJXk
Algebra (KA),Algebra: Slope 3,https://www.youtube.com/watch?v=8XffLj2zvf4
Algebra (KA),Algebra: Equation of a line,https://www.youtube.com/watch?v=gvwKv6F69F0
Algebra (KA),Slope and Y-intercept Intuition,https://www.youtube.com/watch?v=8sz1IPjBRS8
Algebra (KA),Averages,https://www.youtube.com/watch?v=9VZsMY15xeU
Algebra (KA),Integer sums,https://www.youtube.com/watch?v=W254ewkkMck
Algebra (KA),Taking percentages,https://www.youtube.com/watch?v=_SpE4hQ8D_o
Algebra (KA),Growing by a percentage,https://www.youtube.com/watch?v=X2jVap1YgwI
Algebra (KA),Another Percent Word Problem,https://www.youtube.com/watch?v=d1oNF88SAgg
Algebra (KA),More percent problems,https://www.youtube.com/watch?v=4oeoIOan_h4
Algebra (KA),Systems of equations,https://www.youtube.com/watch?v=nok99JOhcjo
Algebra (KA),Introduction to Ratios,https://www.youtube.com/watch?v=HpdMJaKaXXc
Algebra (KA),Ratio problem with basic algebra,https://www.youtube.com/watch?v=ITVQrzDSekU
